URL,음식이름,재료
"http://terms.naver.com//entry.nhn?docId=1988751&cid=42785&categoryId=42787
",연근조림," 주재료 : 연근 120g, 간장 17ml
 부재료 : 식초 1/2큰술(7ml), 양념(간장 2큰술(30ml), 물엿 1큰술(10g), 설탕 1큰술(10g), 식용유 1/2큰술(7ml)), 참기름 1/2작은술(2ml), 통깨 1/2작은술(2g)
"
"http://terms.naver.com//entry.nhn?docId=1988427&cid=42785&categoryId=42795
",코다리조림," 주재료 : 코다리 2마리(400g) 부재료 : 양파 1/4(50g), 청양고추 1개(10g), 풋고추 1개(10g), 홍고추 1개(10g), 대파 15cm(30g), 멸치다시마 국물 2컵(400ml), 참기름 1작은술(5ml), 양념 재료(고춧가루 3큰술(15g), 간장 2큰술(30ml), 생강술 1큰술(15ml), 맛술 1큰술(15ml), 물엿 1큰술(10g), 마늘 (다진 마늘) 1과 1/2큰술(15g), 후추(후춧가루 약간))"
"http://terms.naver.com//entry.nhn?docId=1990937&cid=42785&categoryId=42792
",대파 장아찌," 주재료 : 대파 300g, 홍고추 1개
 부재료 : 간장 1컵, 국간장 1/2컵, 멸치액젓 1컵, 통깨 1큰술, 가츠오부시 1/2컵
 재료설명 : 양념물 (간장 1컵, 국간장 1/2컵, 멸치액젓 1컵, 통깨 1큰술, 가츠오부시 1/2컵)
"
"http://terms.naver.com//entry.nhn?docId=1989467&cid=42785&categoryId=44169
",돼지고기고추장불고기," 주재료 : 돼지고기(삼겹살) 600g
 부재료 : 대파 1대, 양파 ½개, 홍고추 1개, 청양고추 1개, 마늘(다진 마늘) 2큰술, 생강(다진 생강) ¼작은술, 고추장 3큰술, 고춧가루(고운 고춧가루) 1작은술, 참기름 1작은술, 간장 1큰술, 설탕 1큰술, 청주 1큰술, 후춧가루(약간)
 재료설명 : 고추장 양념장 (마늘 2큰술, 생강 ¼작은술, 고추장 3큰술, 고춧가루 1작은술, 참기름 1작은술, 간장 1큰술, 설탕 1큰술, 청주 1큰술, 후춧가루)
"
"http://terms.naver.com//entry.nhn?docId=1991651&cid=42785&categoryId=42789
",소 갈비찜 양념," 주재료 : 간장 100mL, 정종 50mL, 배즙 80g, 양파 1개, 대파 1줄기, 올리고당 50mL, 설탕 30g, 다진 마늘 3큰술, 다진 생강 1/2큰술, 매실액 2큰술, 인삼 1개, 물 500mL, 후춧가루 1작은술
 부재료 : 무 1/4개, 고구마 1개, 대추 10개, 당근 1개, 참기름 2큰술
 재료설명 : 양념재료 (간장 100mL, 정종 50mL, 배즙 80g, 양파 1개, 대파 1줄기, 올리고당 50mL, 설탕 30g, 다진 마늘 3큰술, 다진 생강 1/2큰술, 매실액 2큰술, 인삼 1개, 물 500mL, 후춧가루 1작은술), 요리재료 (무 1/4개, 고구마 1개, 대추 10개, 당근 1개, 참기름 2큰술)
"
"http://terms.naver.com//entry.nhn?docId=1992289&cid=42785&categoryId=42794
",코다리찜," 주재료 : 코다리 2마리, 미더덕 100g, 콩나물 150g, 미나리 100g, 양파 1/2개, 대파 1/2뿌리, 물 1컵, 물녹말(적당량)
 부재료 : 다진 마늘 1큰술, 다진 생강 1작은술, 고춧가루 2큰술, 고추장 1/2큰술, 간장 1작은술, 설탕 1큰술, 물엿 2큰술, 소금(약간), 후춧가루(약간), 참기름 1큰술
 재료설명 : 양념 (다진 마늘 1큰술, 다진 생강 1작은술, 고춧가루 2큰술, 고추장 1/2큰술, 간장 1작은술, 설탕 1큰술, 물엿 2큰술, 소금, 후춧가루, 참기름 1큰술)
"
"http://terms.naver.com//entry.nhn?docId=1988599&cid=42785&categoryId=42795
",소갈비 양념," 주재료 : 간장 1컵(200ml), 양파 1/2개(100g)
 부재료 : 설탕 4큰술(40g), 대파(다진대파) 4큰술(40g), 마늘(다진 마늘) 3큰술(30g), 생강(다진 생강) 1큰술(10g), 청주 2큰술(30ml), 물엿 1과 1/2큰술(15g), 배즙 1/2컵(100ml)
 대체재료 : 간장 → 고추장 (매운맛의 갈비를 원할 때 사용한다.)
"
"http://terms.naver.com//entry.nhn?docId=1988488&cid=42785&categoryId=42795
",꼬치전," 주재료 : 쇠고기(채끝) 200g, 새송이버섯 1개(100g), 햄 100g, 게맛살 5줄(150g), 쪽파 7줄기(70g)
 부재료 : 달걀 2개(100g), 밀가루 5큰술(25g), 꼬치 5개, 잣가루(잣가루 약간), 고기양념(간장(진간장) 2큰술(30ml), 설탕 1큰술(10g), 청주 1큰술(15ml), 마늘(다진 마늘) 2작은술(6g), 참기름 1큰술(15ml), 후추(후추 약간)), 참기름 약간, 소금 약간, 식용유 2큰술(30ml)
"
"http://terms.naver.com//entry.nhn?docId=1992123&cid=42785&categoryId=42794
",코다리 다시마 조림," 주재료 : 코다리 2마리, 다시마 20cm, 마른 홍합 8개, 표고버섯 4장
 부재료 : 간장 4큰술, 설탕 1큰술, 맛술 2큰술, 물 1컵, 생강 1쪽, 후춧가루(약간)
 재료설명 : 조림장 (간장 4큰술, 설탕 1큰술, 맛술 2큰술, 물 1컵, 생강 1쪽, 후춧가루)
"
"http://terms.naver.com//entry.nhn?docId=1988755&cid=42785&categoryId=42787
",메추리알장조림," 주재료 : 메추리알 20개(200g)
 부재료 : 물 3/4컵(150ml), 다시마 5×5cm(2g), 마늘 1쪽(5g), 간장 2큰술(30ml), 설탕 1/2큰술(5g), 물엿 1/2큰술(7ml)
"
