Serving_size,kcal,carbo,sugar,protein,fat,saturated_fat,trans_fat,cholesterol,salt,calcium,soup_dummy0,soup_dummy1,soup_dummy2,eat_dummy0,eat_dummy1,fresh_dummy,con_dummy0,con_dummy1,con_dummy2,con_dummy3,con_dummy4,con_dummy5,main_dummy0,main_dummy1,main_dummy2,main_dummy3,main_dummy4,main_dummy5,main_dummy6,main_dummy7,main_dummy8,main_dummy9,sub_dummy0,sub_dummy1,sub_dummy2,sub_dummy3,sub_dummy4,sub_dummy5,sub_dummy6,sub_dummy7,sub_dummy8,sub_dummy9
0.079686,0.072544,0.013158,0.038462,0.063291,0.092308,0.057447,0,0.051724,0.042735,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.023569,0.072544,0.013158,0.038462,0.050633,0.092308,0.051064,0,0.051724,0.042735,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.102132,0.251607,0.144737,0.211538,0.21519,0.2,0.170213,0.046667,0.086207,0.193732,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.074074,0.196511,0.157895,0.288462,0.075949,0.153846,0.074468,0.033333,0.072414,0.096866,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.107744,0.202112,0.151974,0.0825,0.10443,0.167538,0.084255,0.011,0.105828,0.118462,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.107744,0.199082,0.151974,0.101538,0.112785,0.162462,0.077234,0.011,0.095586,0.119402,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.102132,0.191919,0.157895,0.057692,0.088608,0.153846,0.085106,0,0.034483,0.108262,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.107744,0.22865,0.157895,0.096154,0.113924,0.2,0.089362,0,0.068966,0.096866,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.107744,0.214876,0.151316,0.057692,0.126582,0.169231,0.1,0,0.068966,0.076923,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.125701,0.260294,0.269211,0.120577,0.175443,0.111692,0.091277,0.011,0.051207,0.199316,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.124579,0.105142,0.210592,0.107885,0.200506,0.152308,0.11234,0.011,0.068276,0.186154,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.130191,0.297567,0.290921,0.139615,0.158734,0.167538,0.105319,0.011,0.068276,0.16735,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.242424,0.352617,0.440789,0.115385,0.088608,0.153846,0.055319,0,0.034483,0.153846,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.191919,0.113866,0.059211,0.173077,0.075949,0.107692,0.106383,0,0.086207,0.027066,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.102132,0.054178,0.078947,0.192308,0.012658,0.015385,0.014894,0,0.034483,0.005698,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.371493,0.067952,0.078947,0.153846,0.037975,0.023077,0.021277,0,0.034483,0.011396,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.371493,0.067952,0.078947,0.153846,0.037975,0.023077,0.021277,0,0.034483,0.011396,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.371493,0.067952,0.078947,0.153846,0.037975,0.023077,0.021277,0,0.034483,0.011396,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.551066,0.090909,0.046053,0.134615,0.063291,0.092308,0.082979,0,0.086207,0.021368,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.438833,0.077135,0.039474,0.115385,0.050633,0.076923,0.070213,0,0.068966,0.018519,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.158249,0.123049,0.184211,0.269231,0.063291,0,0.029787,0,0.034483,0.022792,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.270483,0.136823,0.131579,0.384615,0.063291,0.092308,0.06383,0,0.086207,0.039886,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
