음식이름,영양성분,함유량
연근조림,베타카로틴,0.00㎍
연근조림,니아신,0.60mg
연근조림,나트륨,910.90mg
연근조림,단백질,3.99g
연근조림,당질,34.70g
연근조림,레티놀,0.00㎍
연근조림,비타민 A,0.00㎍RE
연근조림,비타민 B,60.51mg
연근조림,비타민 C,68.40mg
연근조림,비타민 E,9.40mg
연근조림,식이섬유,2.90g
연근조림,아연,0.30mg
연근조림,엽산,19.40㎍
연근조림,인,111.60mg
연근조림,지질,10.72g
연근조림,철분,1.53mg
연근조림,칼륨,567.00mg
연근조림,칼슘,44.30mg
연근조림,콜레스테롤,0.00mg
코다리조림,베타카로틴,623.58㎍
코다리조림,니아신,6.69mg
코다리조림,나트륨,"2,442.86mg"
코다리조림,단백질,79.63g
코다리조림,당질,29.01g
코다리조림,레티놀,0.00㎍
코다리조림,비타민 A,103.94㎍RE
코다리조림,비타민 B,60.65mg
코다리조림,비타민 C,10.70mg
코다리조림,비타민 E,7.45mg
코다리조림,식이섬유,4.49g
코다리조림,아연,1.43mg
코다리조림,엽산,93.28㎍
코다리조림,인,833.34mg
코다리조림,지질,16.68g
코다리조림,철분,12.74mg
코다리조림,칼륨,"1,251.68mg"
코다리조림,칼슘,245.92mg
코다리조림,콜레스테롤,340.20mg
소갈비 양념,베타카로틴,0.00㎍
소갈비 양념,니아신,0.90mg
소갈비 양념,나트륨,0.00mg
소갈비 양념,단백질,3.90g
소갈비 양념,당질,17.00g
소갈비 양념,레티놀,0.00㎍
소갈비 양념,비타민 A,19.60㎍RE
소갈비 양념,비타민 B,60.13mg
소갈비 양념,비타민 C,19.00mg
소갈비 양념,비타민 E,0.62mg
소갈비 양념,식이섬유,0.20g
소갈비 양념,아연,0.33mg
소갈비 양념,엽산,3.40㎍
소갈비 양념,인,65.50mg
소갈비 양념,지질,12.70g
소갈비 양념,철분,2.50mg
소갈비 양념,칼륨,167.80mg
소갈비 양념,칼슘,114.60mg
소갈비 양념,콜레스테롤,0.00mg
꼬치전,베타카로틴,525.78㎍
꼬치전,니아신,19.62mg
꼬치전,나트륨,"4,036.60mg"
꼬치전,단백질,91.42g
꼬치전,당질,75.52g
꼬치전,레티놀,215.60㎍
꼬치전,비타민 A,303.26㎍RE
꼬치전,비타민 B,61.62mg
꼬치전,비타민 C,26.34mg
꼬치전,비타민 E,8.42mg
꼬치전,식이섬유,3.92g
꼬치전,아연,7.64mg
꼬치전,엽산,73.14㎍
꼬치전,인,"1,033.44mg"
꼬치전,지질,53.60g
꼬치전,철분,12.06mg
꼬치전,칼륨,"2,120.37mg"
꼬치전,칼슘,290.04mg
꼬치전,콜레스테롤,749.50mg
메추리알장조림,베타카로틴,31.70㎍
메추리알장조림,니아신,0.70mg
메추리알장조림,나트륨,"2,251.20mg"
메추리알장조림,단백질,27.93g
메추리알장조림,당질,21.23g
메추리알장조림,레티놀,860.00㎍
메추리알장조림,비타민 A,865.98㎍RE
메추리알장조림,비타민 B,60.53mg
메추리알장조림,비타민 C,0.90mg
메추리알장조림,비타민 E,1.79mg
메추리알장조림,식이섬유,0.97g
메추리알장조림,아연,3.97mg
메추리알장조림,엽산,166.33㎍
메추리알장조림,인,533.39mg
메추리알장조림,지질,24.33g
메추리알장조림,철분,10.50mg
메추리알장조림,칼륨,681.76mg
메추리알장조림,칼슘,171.73mg
메추리알장조림,콜레스테롤,"1,206.00mg"
동태탕,베타카로틴,963.80㎍
동태탕,니아신,9.87mg
동태탕,나트륨,"2,301.96mg"
동태탕,단백질,132.07g
동태탕,당질,10.00g
동태탕,레티놀,72.00㎍
동태탕,비타민 A,232.80㎍RE
동태탕,비타민 B,60.73mg
동태탕,비타민 C,7.95mg
동태탕,비타민 E,8.80mg
동태탕,식이섬유,3.14g
동태탕,아연,2.77mg
동태탕,엽산,59.66㎍
동태탕,인,"1,676.75mg"
동태탕,지질,5.64g
동태탕,철분,3.29mg
동태탕,칼륨,"2,170.48mg"
동태탕,칼슘,462.62mg
동태탕,콜레스테롤,744.00mg
머랭쿠키,베타카로틴,0.00㎍
머랭쿠키,니아신,0.07mg
머랭쿠키,나트륨,117.30mg
머랭쿠키,단백질,7.91g
머랭쿠키,당질,125.51g
머랭쿠키,레티놀,0.00㎍
머랭쿠키,비타민 A,0.00㎍RE
머랭쿠키,비타민 B,61.13mg
머랭쿠키,비타민 C,0.00mg
머랭쿠키,비타민 E,0.00mg
머랭쿠키,식이섬유,0.00g
머랭쿠키,아연,0.18mg
머랭쿠키,엽산,2.10㎍
머랭쿠키,인,7.70mg
머랭쿠키,지질,0.07g
머랭쿠키,철분,0.52mg
머랭쿠키,칼륨,114.35mg
머랭쿠키,칼슘,8.65mg
머랭쿠키,콜레스테롤,0.70mg
육회,베타카로틴,194.50㎍
육회,니아신,13.12mg
육회,나트륨,"1,301.53mg"
육회,단백질,48.44g
육회,당질,34.98g
육회,레티놀,24.00㎍
육회,비타민 A,56.50㎍RE
육회,비타민 B,60.86mg
육회,비타민 C,19.50mg
육회,비타민 E,6.12mg
육회,식이섬유,6.51g
육회,아연,6.63mg
육회,엽산,35.27㎍
육회,인,587.30mg
육회,지질,44.38g
육회,철분,7.78mg
육회,칼륨,"1,199.40mg"
육회,칼슘,71.57mg
육회,콜레스테롤,94.00mg
두부부침,베타카로틴,16.20㎍
두부부침,니아신,2.36mg
두부부침,나트륨,768.70mg
두부부침,단백질,38.85g
두부부침,당질,23.30g
두부부침,레티놀,137.70㎍
두부부침,비타민 A,140.40㎍RE
두부부침,비타민 B,60.36mg
두부부침,비타민 C,0.00mg
두부부침,비타민 E,17.55mg
두부부침,식이섬유,8.27g
두부부침,아연,3.48mg
두부부침,엽산,53.85㎍
두부부침,인,444.05mg
두부부침,지질,38.68g
두부부침,철분,9.64mg
두부부침,칼륨,153.60mg
두부부침,칼슘,523.91mg
두부부침,콜레스테롤,427.50mg
계란장조림,베타카로틴,"4,715.00㎍"
계란장조림,니아신,1.52mg
계란장조림,나트륨,"3,784.56mg"
계란장조림,단백질,30.08g
계란장조림,당질,19.37g
계란장조림,레티놀,306.00㎍
계란장조림,비타민 A,"1,092.00㎍RE"
계란장조림,비타민 B,60.51mg
계란장조림,비타민 C,7.80mg
계란장조림,비타민 E,2.75mg
계란장조림,식이섬유,2.50g
계란장조림,아연,2.16mg
계란장조림,엽산,28.82㎍
계란장조림,인,458.20mg
계란장조림,지질,22.36g
계란장조림,철분,5.50mg
계란장조림,칼륨,734.64mg
계란장조림,칼슘,156.64mg
계란장조림,콜레스테롤,950.00mg
돼지고기묵은지김치찜,베타카로틴,"1,558.92㎍"
돼지고기묵은지김치찜,니아신,17.27mg
돼지고기묵은지김치찜,나트륨,"5,888.20mg"
돼지고기묵은지김치찜,단백질,56.79g
돼지고기묵은지김치찜,당질,19.93g
돼지고기묵은지김치찜,레티놀,6.40㎍
돼지고기묵은지김치찜,비타민 A,264.60㎍RE
돼지고기묵은지김치찜,비타민 B,62.69mg
돼지고기묵은지김치찜,비타민 C,74.20mg
돼지고기묵은지김치찜,비타민 E,4.23mg
돼지고기묵은지김치찜,식이섬유,16.19g
돼지고기묵은지김치찜,아연,8.04mg
돼지고기묵은지김치찜,엽산,251.22㎍
돼지고기묵은지김치찜,인,"1,051.40mg"
돼지고기묵은지김치찜,지질,54.81g
돼지고기묵은지김치찜,철분,9.40mg
돼지고기묵은지김치찜,칼륨,"1,993.12mg"
돼지고기묵은지김치찜,칼슘,255.26mg
돼지고기묵은지김치찜,콜레스테롤,211.20mg
매운갈비찜,베타카로틴,"11,102.82㎍"
매운갈비찜,니아신,37.08mg
매운갈비찜,나트륨,"3,618.27mg"
매운갈비찜,단백질,106.30g
매운갈비찜,당질,107.85g
매운갈비찜,레티놀,30.00㎍
매운갈비찜,비타민 A,"1,880.63㎍RE"
매운갈비찜,비타민 B,63.68mg
매운갈비찜,비타민 C,88.38mg
매운갈비찜,비타민 E,3.89mg
매운갈비찜,식이섬유,15.14g
매운갈비찜,아연,13.57mg
매운갈비찜,엽산,95.09㎍
매운갈비찜,인,"1,297.73mg"
매운갈비찜,지질,72.44g
