음식이름,주재료
봄,달래
봄,우엉
봄,냉이
봄,더덕
봄,바지락
봄,딸기
봄,두릅
봄,꼬막
봄,쭈꾸미
봄,취나물
봄,장어
봄,매실
봄,쑥
봄,도미
봄,조개
봄,멍게
봄,다슬기
봄,참다랑어
봄,소라
봄,씀바귀
봄,한라봉
봄,미더덕
여름,옥수수
여름,토마토
여름,전복
여름,감자
여름,고구마
여름,블루베리
여름,도라지
여름,포도
여름,장어
여름,수박
여름,매실
여름,복숭아
여름,참나물
여름,갈치
여름,참외
여름,다슬기
여름,참다랑어
여름,복분자
여름,소라
가을,고등어
가을,옥수수
가을,굴
가을,사과
가을,게
가을,토마토
가을,홍합
가을,꼬막
가을,배추
가을,전복
가을,감자
가을,고구마
가을,무
가을,꽁치
가을,호박
가을,대하
가을,블루베리
가을,삼치
가을,유자
가을,배추
가을,참나물
가을,귤
가을,갈치
가을,석류
가을,도미
가을,가리비
가을,은행
가을,광어
가을,해삼
가을,과메기
겨울,우엉
겨울,더덕
겨울,굴
겨울,바지락
겨울,사과
겨울,딸기
겨울,홍합
겨울,꼬막
겨울,배추
겨울,무
겨울,호박
겨울,대하
겨울,삼치
겨울,유자
겨울,명태
겨울,아귀
겨울,귤
겨울,석류
겨울,도미
겨울,가리비
겨울,광어
겨울,과메기
겨울,한라봉
